Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,tag
NASCAR Heat 2,2017,Racing,505 Games,0.11,0.0,0.0,0.01,0.12,Xbox
Life is Strange,2016,Adventure,Square Enix,0.08,0.03,0.0,0.01,0.12,Xbox
Wolfenstein The Two Pack,2017,Shooter,Bethesda Softworks,0.11,0.0,0.0,0.01,0.12,Xbox
The Surge,2017,Action,Koch Media,0.07,0.04,0.0,0.01,0.12,Xbox
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017,Fighting,Namco Bandai Games,0.11,0.0,0.0,0.01,0.12,Xbox
Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,0.05,0.06,0.0,0.01,0.12,Xbox
Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,0.06,0.05,0.0,0.01,0.12,Xbox
7 Days to Die,2016,Action,Telltale Games,0.09,0.02,0.0,0.01,0.12,Xbox
Zombie Army Trilogy,2015,Shooter,Rebellion Developments,0.05,0.05,0.0,0.01,0.12,Xbox
Prototype: Biohazard Bundle,2016,Action,Activision,0.1,0.0,0.0,0.01,0.11,Xbox
Ride,2015,Racing,Milestone S.r.l.,0.05,0.05,0.0,0.01,0.11,Xbox
Agents of Mayhem,2017,Action,Deep Silver,0.07,0.03,0.0,0.01,0.11,Xbox
Metal Gear Solid V: The Definitive Experience,2016,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,Xbox
Killer Instinct (2013),2014,Fighting,Microsoft Studios,0.07,0.03,0.0,0.01,0.11,Xbox
MXGP 2,2016,Racing,Milestone S.r.l.,0.07,0.02,0.0,0.01,0.1,Xbox
NASCAR Heat Evolution,2016,Racing,Dusenberry Martin Racing,0.09,0.0,0.0,0.01,0.1,Xbox
TrackMania Turbo,2016,Racing,Ubisoft,0.05,0.04,0.0,0.01,0.1,Xbox
Divinity: Original Sin,2015,Role-Playing,Focus Home Interactive,0.06,0.03,0.0,0.01,0.1,Xbox
Dead or Alive 5,2015,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.1,Xbox
Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,0.05,0.03,0.0,0.01,0.1,Xbox
Resident Evil Zero,2016,Action-Adventure,Capcom,0.07,0.02,0.0,0.01,0.1,Xbox
Sword Art Online: Fatal Bullet,2018,Role-Playing,Namco Bandai Games,0.09,0.0,0.0,0.01,0.1,Xbox
Yooka-Laylee,2017,Platform,Sold Out,0.05,0.04,0.0,0.01,0.1,Xbox
Real Farm,2017,Simulation,Soedesco,0.08,0.0,0.0,0.01,0.1,Xbox
We Happy Few,2018,Action-Adventure,Gearbox Software,0.07,0.01,0.0,0.01,0.09,Xbox
Duke Nukem 3D: 20th Anniversary World Tour,2016,Shooter,Gearbox Software,0.08,0.0,0.0,0.01,0.09,Xbox
The Wolf Among Us,2014,Adventure,Telltale Games,0.06,0.02,0.0,0.01,0.09,Xbox
Attack on Titan 2,2018,Action,Koei Tecmo,0.08,0.0,0.0,0.01,0.09,Xbox
Rugby 15,2015,Sports,Bigben Interactive,0.03,0.05,0.0,0.01,0.09,Xbox
MXGP 3: The Official Motocross Videogame,2017,Racing,Milestone,0.06,0.02,0.0,0.01,0.09,Xbox
Bladestorm: Nightmare,2015,Action,Tecmo Koei,0.06,0.02,0.0,0.01,0.08,Xbox
Monster Energy Supercross - The Official Videogame,2018,Racing,Milestone S.r.l.,0.08,0.0,0.0,0.01,0.08,Xbox
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017,Misc,Ubisoft,0.08,0.0,0.0,0.01,0.08,Xbox
Dead Island Definitive Collection,2016,Action,Deep Silver,0.05,0.03,0.0,0.01,0.08,Xbox
Ride 2,2016,Racing,Milestone S.r.l,0.06,0.01,0.0,0.01,0.08,Xbox
Elite: Dangerous,2017,Simulation,Frontier Developments,0.07,0.0,0.0,0.01,0.08,Xbox
Just Dance: Disney Party 2,2015,Music,Ubisoft,0.06,0.01,0.0,0.01,0.08,Xbox
Bulletstorm: Full Clip Edition,2017,Shooter,Gearbox Software,0.06,0.01,0.0,0.01,0.08,Xbox
Micro Machines: World Series,2017,Racing,Codemasters,0.02,0.05,0.0,0.01,0.08,Xbox
Darksiders II,2015,Action-Adventure,Nordic Games,0.05,0.03,0.0,0.01,0.08,Xbox
Sherlock Holmes: Crimes & Punishments,2014,Adventure,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08,Xbox
Toy Soldiers: War Chest,2015,Action,Ubisoft,0.07,0.0,0.0,0.01,0.08,Xbox
BlazBlue: Chrono Phantasma Extend,2015,Fighting,PQube,0.06,0.01,0.0,0.01,0.08,Xbox
Metal Gear Survive,2018,Action,Konami Digital Entertainment,0.05,0.01,0.0,0.01,0.08,Xbox
The Golf Club,2015,Sports,Ravenscourt,0.07,0.0,0.0,0.01,0.07,Xbox
Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.06,0.01,0.0,0.01,0.07,Xbox
Constructor HD,2017,Strategy,System 3,0.07,0.0,0.0,0.01,0.07,Xbox
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,Action,Activision,0.05,0.01,0.0,0.01,0.07,Xbox
Valentino Rossi: The Game,2016,Racing,Namco Bandai Games,0.05,0.02,0.0,0.01,0.07,Xbox
Disneyland Adventures,2017,Action-Adventure,Microsoft Studios,0.05,0.01,0.0,0.01,0.07,Xbox
Dynasty Warriors 8: Empires,2014,Action,Tecmo Koei,0.04,0.02,0.0,0.01,0.07,Xbox
Resident Evil 6,2016,Shooter,Capcom,0.06,0.0,0.0,0.01,0.07,Xbox
Ghostbusters (2016),2016,Action,Activision,0.06,0.0,0.0,0.01,0.07,Xbox
R.B.I. Baseball 2017,2017,Sports,MLB.com,0.06,0.0,0.0,0.01,0.07,Xbox
Aven Colony,2017,Strategy,Sold Out,0.06,0.0,0.0,0.01,0.06,Xbox
Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.04,0.02,0.0,0.01,0.06,Xbox
Atari Flashback Classics: Volume 1,2016,Misc,Atari,0.06,0.0,0.0,0.01,0.06,Xbox
MotoGP 17,2017,Racing,Koch Media,0.04,0.02,0.0,0.01,0.06,Xbox
Wasteland 2,2015,Role-Playing,Deep Silver,0.05,0.01,0.0,0.01,0.06,Xbox
MX vs ATV Supercross Encore 2017 Track Edition,2017,Racing,THQ Nordic,0.05,0.0,0.0,0.01,0.06,Xbox
Cartoon Network Battle Crashers,2016,Action,Maximum Games,0.05,0.01,0.0,0.01,0.06,Xbox
Hasbro Family Fun Pack Conquest Edition,2016,Misc,Ubisoft,0.05,0.0,0.0,0.01,0.06,Xbox
Sherlock Holmes: The Devil's Daughter,2016,Adventure,Bigben Interactive,0.05,0.0,0.0,0.01,0.06,Xbox
MX vs. ATV Supercross Encore,2015,Sports,Nordic Games,0.05,0.0,0.0,0.01,0.06,Xbox
Killing Floor 2Ê,2017,Shooter,Tripwire Interactive,0.05,0.0,0.0,0.01,0.06,Xbox
R.B.I. Baseball 2016,2016,Sports,MLB.com,0.05,0.0,0.0,0.01,0.06,Xbox
Okami,2017,Action,Capcom,0.05,0.0,0.0,0.01,0.06,Xbox
Rapala Fishing Pro Series,2017,Simulation,GameMill,0.05,0.0,0.0,0.01,0.06,Xbox
Arslan: The Warriors of Legend,2016,Action,Tecmo Koei,0.05,0.0,0.0,0.01,0.06,Xbox
Golf Club 2,2017,Sports,Maximum Games,0.05,0.0,0.0,0.01,0.06,Xbox
Mark McMorris Infinite Air,2016,Sports,Maximum Games,0.05,0.0,0.0,0.01,0.06,Xbox
Atari Flashback Classics: Volume 2,2016,Misc,Atari,0.05,0.0,0.0,0.01,0.06,Xbox
Hunting Simulator,2017,Shooter,Bigben Interactive,0.05,0.0,0.0,0.01,0.06,Xbox
Styx: Shards of Darknes,2017,Action,Focus Home Interactive,0.05,0.0,0.0,0.01,0.06,Xbox
Marvel's Guardians of the Galaxy: The Telltale Series,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0.0,0.0,0.01,0.05,Xbox
Baja: Edge of Control HD,2017,Racing,THQ Nordic,0.05,0.0,0.0,0.01,0.05,Xbox
Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.04,0.0,0.0,0.01,0.05,Xbox
Brothers: A Tale of Two Sons,2015,Adventure,505 Games,0.04,0.01,0.0,0.01,0.05,Xbox
The Walking Dead: A Telltale Series Collection,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0.0,0.0,0.01,0.05,Xbox
Rugby 18,2017,Sports,Koch Media,0.04,0.0,0.0,0.01,0.05,Xbox
Has-Been Heroes,2017,Action,GameTrust,0.04,0.0,0.0,0.01,0.05,Xbox
Deformers,2017,Action,Ready at Dawn,0.04,0.0,0.0,0.01,0.05,Xbox
Extinction,2018,Action,Maximum Games,0.04,0.0,0.0,0.01,0.05,Xbox
Resident Evil 4 HD,2016,Action-Adventure,Capcom,0.04,0.0,0.0,0.01,0.05,Xbox
The Technomancer,2016,Role-Playing,Focus Home Interactive,0.03,0.02,0.0,0.0,0.05,Xbox
Cars 3: Driven to Win,2017,Racing,Warner Bros. Interactive Entertainment,0.04,0.0,0.0,0.01,0.05,Xbox
Pillars of Eternity,2017,Role-Playing,Paradox InteractiveÊ,0.04,0.0,0.0,0.01,0.05,Xbox
Just Sing,2016,Music,Ubisoft,0.04,0.0,0.0,0.01,0.05,Xbox
Mighty No. 9,2016,Platform,Deep Silver,0.04,0.0,0.0,0.01,0.05,Xbox
Batman: The Enemy Within,2017,Adventure,Telltale Games,0.04,0.0,0.0,0.01,0.05,Xbox
WRC 7,2017,Racing,Bigben Interactive,0.04,0.0,0.0,0.01,0.05,Xbox
King's Quest: The Complete Collection,2016,Adventure,Activision,0.04,0.0,0.0,0.01,0.05,Xbox
Marvel Pinball: Epic Collection Volume 1,2016,Puzzle,Nighthawk Interactive,0.04,0.0,0.0,0.01,0.05,Xbox
Road Rage,2017,Racing,Maximum Games,0.04,0.0,0.0,0.0,0.04,Xbox
Dragon's Dogma,2017,Role-Playing,Capcom,0.04,0.0,0.0,0.0,0.04,Xbox
Deer Hunter Reloaded,2017,Shooter,GameMill Entertainment,0.04,0.0,0.0,0.0,0.04,Xbox
Overcooked,2016,Action,Sold Out,0.04,0.0,0.0,0.0,0.04,Xbox
Resident Evil 5 HD,2016,Action,Capcom,0.04,0.0,0.0,0.0,0.04,Xbox
Darksiders: Warmastered Edition,2016,Action-Adventure,THQ Nordic,0.04,0.0,0.0,0.0,0.04,Xbox
Valkyria: Azure Revolution,2017,Role-Playing,Deep Silver,0.04,0.0,0.0,0.0,0.04,Xbox
Game of Thrones (Telltale),2015,Adventure,Telltale Games,0.04,0.0,0.0,0.0,0.04,Xbox
Terraria,2014,Action,505 Games,0.0,0.04,0.0,0.0,0.04,Xbox
Elex,2017,Role-Playing,THQ Nordic,0.04,0.0,0.0,0.0,0.04,Xbox
Battle Chasers: Nightwar,2017,Role-Playing,THQ Nordic,0.04,0.0,0.0,0.0,0.04,Xbox
Don't Starve,2018,Adventure,505 Games,0.04,0.0,0.0,0.0,0.04,Xbox
Dead Rising 2,2016,Action,Capcom,0.03,0.0,0.0,0.0,0.04,Xbox
Don Bradman Cricket 14,2015,Sports,Tru Blu Entertainment,0.0,0.04,0.0,0.0,0.04,Xbox
Monster Jam: Crush It,2016,Racing,GameMill,0.03,0.0,0.0,0.0,0.04,Xbox
Shadow Warrior (2013),2014,Shooter,Devolver Digital,0.0,0.04,0.0,0.0,0.04,Xbox
Dead Alliance,2017,Shooter,Maximum Games,0.03,0.0,0.0,0.0,0.04,Xbox
Warriors Orochi 3,2014,Action,Tecmo Koei,0.01,0.03,0.0,0.0,0.04,Xbox
Dead Rising,2016,Action,Capcom,0.03,0.0,0.0,0.0,0.04,Xbox
Sine Mora,2017,Action,THQ Nordic,0.03,0.0,0.0,0.0,0.04,Xbox
WRC 6,2016,Racing,PQube,0.03,0.0,0.0,0.0,0.03,Xbox
Black Mirror,2017,Adventure,THQ Nordic,0.03,0.0,0.0,0.0,0.03,Xbox
Pure Farming 2018,2018,Simulation,Techland,0.03,0.0,0.0,0.0,0.03,Xbox
MotoGP 15,2015,Racing,Milestone S.r.l.,0.0,0.03,0.0,0.0,0.03,Xbox
Raid: World War II,2017,Shooter,505 Games,0.03,0.0,0.0,0.0,0.03,Xbox
Carmageddon: Max Damage,2016,Action,Stainless Games,0.02,0.01,0.0,0.0,0.03,Xbox
INSIDE / LIMBO Double Pack,2017,Platform,505 Games,0.03,0.0,0.0,0.0,0.03,Xbox
Warhammer: The End Times - Vermintide,2016,Action,Games Workshop,0.03,0.0,0.0,0.0,0.03,Xbox
Stardew Valley,2017,Simulation,505 Games,0.02,0.0,0.0,0.0,0.03,Xbox
Ben 10 (2017),2017,Action,Outright Games,0.02,0.0,0.0,0.0,0.03,Xbox
The Pillars of the Earth,2017,Adventure,Kalypso Media,0.02,0.0,0.0,0.0,0.03,Xbox
Rime,2017,Adventure,Grey Box,0.02,0.0,0.0,0.0,0.03,Xbox
Worms: WMD,2016,Strategy,Team17 Digital Ltd,0.02,0.0,0.0,0.0,0.02,Xbox
Syberia III,2017,Adventure,Microids,0.02,0.0,0.0,0.0,0.02,Xbox
Moto Racer 4,2016,Racing,PQube,0.02,0.0,0.0,0.0,0.02,Xbox
Rugby League Live 4,2017,Sports,Tru Blu Entertainment,0.0,0.02,0.0,0.0,0.02,Xbox
ABZU,2017,Adventure,505 Games,0.02,0.0,0.0,0.0,0.02,Xbox
Pharaonic,2017,Action,Soedesco,0.02,0.0,0.0,0.0,0.02,Xbox
Geometry Wars 3: Dimensions Evolved,2016,Action,Activision,0.02,0.0,0.0,0.0,0.02,Xbox
Resident Evil: Revelations,2017,Action,Capcom,0.02,0.0,0.0,0.0,0.02,Xbox
Broken Sword 5: The Serpent's Curse,2015,Adventure,Revolution Software,0.0,0.02,0.0,0.0,0.02,Xbox
Rugby World Cup 2015,2015,Sports,Big Ben Interactive,0.0,0.02,0.0,0.0,0.02,Xbox
The Crew: Wild Run,2015,Racing,Ubisoft,0.0,0.02,0.0,0.0,0.02,Xbox
Prison Architect,2016,Simulation,Introversion Software,0.02,0.0,0.0,0.0,0.02,Xbox
The Dwarves,2016,Role-Playing,THQ Nordic,0.02,0.0,0.0,0.0,0.02,Xbox
Big Buck Hunter Arcade,2017,Shooter,GameMill,0.02,0.0,0.0,0.0,0.02,Xbox
Redout,2017,Racing,505 Games,0.02,0.0,0.0,0.0,0.02,Xbox
Troll and I,2017,Action,Maximum Games,0.02,0.0,0.0,0.0,0.02,Xbox
Portal Knights,2017,Role-Playing,505 Games,0.02,0.0,0.0,0.0,0.02,Xbox
Shaq-Fu: A Legend Reborn,2018,Action,Wired Productions,0.02,0.0,0.0,0.0,0.02,Xbox
Psycho-Pass,2014,Visual Novel,5pb,0.0,0.0,0.02,0.0,0.02,Xbox
Tropico 5,2016,Simulation,Kalypso Media,0.02,0.0,0.0,0.0,0.02,Xbox
Back to the Future: The Game,2015,Adventure,Telltale Games,0.0,0.02,0.0,0.0,0.02,Xbox
Saints Row: Gat out of Hell,2015,Action,Deep Silver,0.0,0.02,0.0,0.0,0.02,Xbox
Mega Man Legacy Collection 2,2017,Action,Capcom,0.02,0.0,0.0,0.0,0.02,Xbox
Dungeons 3,2017,Strategy,Kalypso Media,0.02,0.0,0.0,0.0,0.02,Xbox
Blackguards 2,2017,Strategy,Kalypso Media,0.02,0.0,0.0,0.0,0.02,Xbox
Rogue Trooper: Redux,2017,Shooter,Rebellion,0.02,0.0,0.0,0.0,0.02,Xbox
Vikings: Wolves of Midgard,2017,Action,Kalypso Media,0.01,0.0,0.0,0.0,0.02,Xbox
The Inner World: The Last Wind Monk,2017,Puzzle,Kalypso Media,0.01,0.0,0.0,0.0,0.02,Xbox
Assetto Corsa,2016,Racing,505 Games,0.0,0.01,0.0,0.0,0.02,Xbox
Le Tour de France 2017,2017,Simulation,Focus Home Interactive,0.0,0.01,0.0,0.0,0.02,Xbox
Lock's Quest,2017,Strategy,THQ Nordic,0.01,0.0,0.0,0.0,0.02,Xbox
WRC 5: FIA World Rally Championship,2015,Racing,Bigben Interactive,0.0,0.01,0.0,0.0,0.02,Xbox
FlatOut 4: Total Insanity,2017,Racing,Bigben Interactive,0.01,0.0,0.0,0.0,0.01,Xbox
Shadow Tactics: Blades of the Shogun,2017,Strategy,Kalypso Media,0.01,0.0,0.0,0.0,0.01,Xbox
The Town of Light,2017,Adventure,THQ Nordic,0.01,0.0,0.0,0.0,0.01,Xbox
Goat Simulator,2016,Simulation,Koch Media,0.0,0.01,0.0,0.0,0.01,Xbox
Rugby League Live 3,2015,Sports,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.01,Xbox
Assassin's Creed Chronicles,2016,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01,Xbox
SŽbastien Loeb Rally Evo,2016,Racing,Milestone S.r.l,0.0,0.01,0.0,0.0,0.01,Xbox
Rugby Challenge 3,2016,Sports,Alternative Software,0.0,0.01,0.0,0.0,0.01,Xbox
Rabbids Invasion: The Interactive TV Show,2014,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.01,Xbox
ZombiU,2016,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01,Xbox
This War of Mine,2016,Action,11 bit studios,0.0,0.01,0.0,0.0,0.01,Xbox
Battle Worlds: Kronos,2016,Strategy,Nordic Games,0.01,0.0,0.0,0.0,0.01,Xbox
ScreamRide,2015,Simulation,Microsoft Studios,0.0,0.01,0.0,0.0,0.01,Xbox
Torment: Tides of Numenera,2017,Role-Playing,Techland,0.01,0.0,0.0,0.0,0.01,Xbox
Ziggurat,2016,Shooter,Soedesco,0.0,0.01,0.0,0.0,0.01,Xbox
ATV Renegades,2017,Racing,Nighthawk Interactive,0.0,0.0,0.0,0.0,0.01,Xbox
This Is The Police,2017,Simulation,THQ Nordic,0.0,0.0,0.0,0.0,0.01,Xbox
Valhalla Hills,2017,Strategy,Kalypso Media,0.0,0.0,0.0,0.0,0.0,Xbox
Handball 16,2015,Sports,Bigben Interactive,0.0,0.0,0.0,0.0,0.0,Xbox
Shovel Knight,2015,Platform,Yacht Club Games,0.0,0.0,0.0,0.0,0.0,Xbox
Blood Bowl 2,2015,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,Xbox
The Peanuts Movie: Snoopy's Grand Adventure,2015,Platform,Activision,0.0,0.0,0.0,0.0,0.0,Xbox
Farming 2017 - The Simulation,2016,Simulation,UIG Entertainment,0.0,0.0,0.0,0.0,0.0,Xbox
Kung Fu Panda: Showdown of Legendary Legends,2015,Action,Little Orbit,0.0,0.0,0.0,0.0,0.0,Xbox
Strider (2014),2014,Platform,Capcom,0.0,0.0,0.0,0.0,0.0,Xbox
The Amazing Spider-Man 2,2014,Misc,Activision,0.0,0.0,0.0,0.0,0.0,Xbox
Mega Man Legacy Collection,2016,Platform,Capcom,0.0,0.0,0.0,0.0,0.0,Xbox
Agatha Christie: The ABC Murders,2016,Adventure,Microids,0.0,0.0,0.0,0.0,0.0,Xbox
Ancients of Ooga - The Forgotten Chapters,2016,Platform,Koch Media,0.0,0.0,0.0,0.0,0.0,Xbox
Bladestorm: The Hundred Years' War,2015,Action,BioWare,0.0,0.0,0.0,0.0,0.0,Xbox
Brothers in Arms: Furious 4,2019,Shooter,Ubisoft,0.0,0.0,0.0,0.0,0.0,Xbox
Devil May Cry 4,2015,Action,Capcom,0.0,0.0,0.0,0.0,0.0,Xbox
Gran Turismo 5 Prologue Spec III,2014,Misc,Wizards of the Coast,0.0,0.0,0.0,0.0,0.0,Xbox
Industry Giant II,2017,Strategy,UIG Entertainment,0.0,0.0,0.0,0.0,0.0,Xbox
Killer Instinct,2020,Misc,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0,Xbox
Mount & Blade: Warband,2016,Role-Playing,Koch Media,0.0,0.0,0.0,0.0,0.0,Xbox
Lightning Returns: Final Fantasy XIII,2013,Misc,Square Enix,0.0,0.0,0.0,0.0,0.0,Xbox
Slender: The Arrival,2015,Adventure,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox
Human Element,2015,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox
Whore of the Orient,2020,Misc,Warner Bros. Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,Xbox
Carmageddon: Reincarnation,2015,Misc,Stainless Games,0.0,0.0,0.0,0.0,0.0,Xbox
Halo 6,2020,Shooter,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0,Xbox
Kingdom Hearts III,2019,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0,Xbox
Black Tusk Studios Game,2020,Misc,Microsoft Game Studios,0.0,0.0,0.0,0.0,0.0,Xbox
Reus,2016,Strategy,Soedesco,0.0,0.0,0.0,0.0,0.0,Xbox
Fable Legends,2019,Role-Playing,Microsoft Studios,0.0,0.0,0.0,0.0,0.0,Xbox
WonderFlick,2014,Misc,Level 5,0.0,0.0,0.0,0.0,0.0,Xbox
Monochroma,2014,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox
Sea Animal Games for Toddlers and Kids with Jigsaw Puzzles,2013,Misc,Ubisoft,0.0,0.0,0.0,0.0,0.0,Xbox
Raven's Cry,2014,Role-Playing,TopWare Interactive,0.0,0.0,0.0,0.0,0.0,Xbox
Tales from the Borderlands,2014,Adventure,Telltale Games,0.0,0.0,0.0,0.0,0.0,Xbox
Get Even,2015,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox
Stranger of Sword City,2016,Role-Playing,Experience Inc.,0.0,0.0,0.0,0.0,0.0,Xbox
The Book of Unwritten Tales 2,2015,Adventure,Nordic Games,0.0,0.0,0.0,0.0,0.0,Xbox
Puyo Puyo Tetris,2014,Puzzle,Sega,0.0,0.0,0.0,0.0,0.0,Xbox
Cult County,2015,Misc,Renegade Kid,0.0,0.0,0.0,0.0,0.0,Xbox
Adr1ft,2016,Adventure,505 Games,0.0,0.0,0.0,0.0,0.0,Xbox
R.B.I. Baseball 14,2014,Misc,MLB.com,0.0,0.0,0.0,0.0,0.0,Xbox
Blue EstateÊ,2014,Misc,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,Xbox
Space Hulk: Deathwing,2015,Shooter,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,Xbox
Mystereet F: The Detectives' Curtain Call,2014,Misc,5pb,0.0,0.0,0.0,0.0,0.0,Xbox
Chaos;Child,2014,Visual Novel,5pb,0.0,0.0,0.0,0.0,0.0,Xbox
Scalebound,2014,Action,PlatinumGames,0.0,0.0,0.0,0.0,0.0,Xbox
Crackdown 3,2019,Action,Microsoft Studios,0.0,0.0,0.0,0.0,0.0,Xbox
EA Sports PGA Tour,2015,Sports,EA Sports,0.0,0.0,0.0,0.0,0.0,Xbox
Lara Croft and the Temple of Osiris,2014,Action,Square Enix,0.0,0.0,0.0,0.0,0.0,Xbox
Dead Island 2,2017,Action,Deep Silver,0.0,0.0,0.0,0.0,0.0,Xbox
Tetris UltimateÊ,2014,Puzzle,Ubisoft,0.0,0.0,0.0,0.0,0.0,Xbox
Afro Samurai 2,2015,Action,Versus Evil,0.0,0.0,0.0,0.0,0.0,Xbox
The Legend of Korra (2014),2014,Action,Activision,0.0,0.0,0.0,0.0,0.0,Xbox
Shooting Love Trilogy,2015,Shooter,Triangle Service,0.0,0.0,0.0,0.0,0.0,Xbox
King of Wushu,2015,Action,Snail Game,0.0,0.0,0.0,0.0,0.0,Xbox
MercuryÊ,2015,Action,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox
Raiden V,2016,Action,Moss,0.0,0.0,0.0,0.0,0.0,Xbox
Assassin's Creed Chronicles: China,2015,Action-Adventure,Ubisoft,0.0,0.0,0.0,0.0,0.0,Xbox
Pathologic,2015,Adventure,Ice-pick Lodge,0.0,0.0,0.0,0.0,0.0,Xbox
Assassin's Creed: Victory,2015,Action,Ubisoft,0.0,0.0,0.0,0.0,0.0,Xbox
R.B.I. Baseball 15,2015,Sports,MLB.com,0.0,0.0,0.0,0.0,0.0,Xbox
Cross Reverie,2017,Role-Playing,Sinxsoft,0.0,0.0,0.0,0.0,0.0,Xbox
The Escapists: The Walking Dead,2015,Action,Team17 Software,0.0,0.0,0.0,0.0,0.0,Xbox
Woodcutter Simulator 2016,2015,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,Xbox
Professional Farmer 2016,2015,Action,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,Xbox
Professional Lumberjack 2016,2015,Simulation,Namco Bandai Games,0.0,0.0,0.0,0.0,0.0,Xbox
Alekhine's Gun,2016,Action,Maximum Games,0.0,0.0,0.0,0.0,0.0,Xbox
World to the West,2017,Action-Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0,Xbox
Super Dungeon Bros,2016,Action,Wired Productions,0.0,0.0,0.0,0.0,0.0,Xbox
Pro Cycling Manager 2016,2016,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,Xbox
We Sing (2016),2016,Music,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox
Don Bradman Cricket 17,2016,Sports,Tru Blu Entertainment,0.0,0.0,0.0,0.0,0.0,Xbox
Ace Combat 7: Skies Unknown,2019,Shooter,Bandai Namco Games,0.0,0.0,0.0,0.0,0.0,Xbox
Metro Exodus,2019,Shooter,Deep Silver,0.0,0.0,0.0,0.0,0.0,Xbox
Anthem,2019,Role-Playing,Electronic Arts,0.0,0.0,0.0,0.0,0.0,Xbox
AereA,2017,Role-Playing,Soedesco,0.0,0.0,0.0,0.0,0.0,Xbox
Moons Of Madness,2018,Role-Playing,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox
Iron Harvest,2018,Strategy,Unknown,0.0,0.0,0.0,0.0,0.0,Xbox
Biomutant,2018,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox
Biomutant,2019,Action,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox
de Blob,2017,Platform,THQ Nordic,0.0,0.0,0.0,0.0,0.0,Xbox
Outcast: Second Contact,2017,Adventure,Bigben Interactive,0.0,0.0,0.0,0.0,0.0,Xbox
Code Vein,2019,Action,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0,Xbox
